proj_code,country,via,inco,ship_mode,prod_grp,sub_class,vendor,brand,dosage,dosage_form,per_pack_qty,line_qty,line_value,pack_price,unit_price,manu_site,first_line,weight,freight,insurance,delay,total_cost,quote_year,quote_month,quote_day,po_year,po_month,po_day,sch_del_year,sch_del_month,sch_del_day,actual_del_year,actual_del_month,actual_del_day
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,"JSI R&T INSTITUTE, INC.",Videx EC,400mg,Delayed-release capsules - blister,30,800,21720.0,27.15,0.9,"BMS Meymac, France",Yes,4516.521007400334,0.0,34.75,-1,21754.75,2007,8,17,2008,1,21,2008,2,5,2008,2,4
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,4300,309557.0,71.99,0.72,Inverness Japan,Yes,979.0,8690.26,495.29,0,318742.55,2007,12,17,2008,2,29,2008,6,6,2008,6,6
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,300mg,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,522.0,6924.83,57.88,3,43158.71,2007,10,25,2008,2,27,2008,4,14,2008,4,17
107-RW-T01,Rwanda,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,3150,100800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1080.0,15987.05,161.28,0,116948.33,2008,1,21,2008,2,26,2008,7,11,2008,7,11
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,1116,78120.0,70.0,0.7,Inverness Japan,Yes,256.0,4014.57,124.99,0,82259.56000000001,2008,4,7,2008,2,29,2008,9,26,2008,9,26
102-GY-T01,Guyana,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,1062,33984.0,32.0,1.6,"Trinity Biotech, Plc",Yes,362.0,4717.51,54.37,0,38755.880000000005,2008,1,31,2008,2,28,2008,7,21,2008,7,21
102-BW-T01,Botswana,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,200,2.0,0.01,0.0,Inverness Japan,Yes,4516.521007400334,10900.58231496884,0.0,0,10902.58231496884,2008,1,3,2008,3,11,2008,6,23,2008,6,23
129-KG-T01,Kyrgyzstan,Direct Drop,DDP,Air,HRDT,HIV test,"Orgenics, Ltd",DoubleCheck,300mg,Test kit,40,500,39500.0,79.0,1.98,Not Applicable,Yes,4516.521007400334,0.0,63.2,0,39563.2,2007,12,25,2008,3,18,2008,6,14,2008,6,14
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,142,1.42,0.01,0.0,Inverness Japan,Yes,4516.521007400334,10900.58231496884,0.0,0,10902.00231496884,2007,12,15,2008,3,18,2008,6,4,2008,6,4
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Epivir,10mg/ml,Oral solution,240,1000,6410.0,6.41,0.03,GSK Mississauga (Canada),No,4516.521007400334,0.0,10.26,0,6420.26,2007,11,4,2008,2,20,2008,4,24,2008,4,24
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,100mg,Chewable/dispersible tablet,60,408,3162.0,7.75,0.13,"Aurobindo Unit III, India",No,137.0,5260.46,5.06,0,8427.519999999999,2008,1,17,2008,3,31,2008,7,7,2008,7,7
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,10420,77108.0,7.4,0.12,"Cipla, Goa, India",Yes,1000.0,7526.06,123.37,0,84757.43,2008,2,22,2008,3,31,2008,8,12,2008,8,12
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,9600,71040.0,7.4,0.12,"Cipla, Goa, India",Yes,920.0,7265.05,113.66,0,78418.71,2008,3,31,2008,3,31,2008,9,19,2008,9,19
108-VN-T01,Vietnam,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,1520,124944.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,385.0,4393.32,199.91,0,129537.23000000001,2008,1,26,2008,3,31,2008,7,16,2008,7,16
108-VN-T01,Vietnam,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,800,65760.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,208.0,3449.4,105.22,0,69314.62,2008,1,24,2008,3,31,2008,7,14,2008,7,14
106-HT-T01,Haiti,Direct Drop,DDP,Air,HRDT,HIV test,REINBOLD EXPORT IMPORT,Determine,300mg,Test kit,100,30,2550.0,85.0,0.85,Inverness Japan,Yes,4516.521007400334,0.0,4.08,-106,2554.08,2007,10,29,2008,4,28,2008,4,18,2008,1,3
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,15360,113664.0,7.4,0.12,"Cipla, Goa, India",Yes,1360.0,5412.14,181.86,0,119258.0,2008,4,22,2008,5,14,2008,10,11,2008,10,11
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,200mg,Tablet,60,2180,6997.8,3.21,0.05,"Aurobindo Unit III, India",Yes,242.0,5881.57,11.2,0,12890.57,2008,3,31,2008,5,13,2008,9,19,2008,9,19
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150/300mg,Tablet - FDC,60,2016,18648.0,9.25,0.15,"Aurobindo Unit III, India",Yes,185.0,5551.97,29.84,0,24229.81,2008,3,31,2008,5,13,2008,9,19,2008,9,19
108-VN-T01,Vietnam,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81.0,2035.66,4.48,0,4840.139999999999,2008,4,11,2008,5,13,2008,9,30,2008,9,30
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,600mg,Tablet,30,10080,103219.2,10.24,0.34,Mylan (formerly Matrix) Nashik,No,1537.0,13507.92,165.15,0,116892.26999999999,2008,3,31,2008,5,14,2008,9,19,2008,9,19
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Videx,25mg,Chewable/dispersible tablet,60,4,52.96,13.24,0.22,"BMS Meymac, France",No,4516.521007400334,0.0,0.08,-104,53.04,2008,3,1,2008,5,6,2008,8,20,2008,5,8
106-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,2059,144130.0,70.0,0.7,Inverness Japan,Yes,470.0,3684.28,230.61,0,148044.88999999998,2008,2,16,2008,5,20,2008,8,6,2008,8,6
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,400,9536.0,23.84,0.79,"Aspen-OSD, Port Elizabeth, SA",No,4516.521007400334,0.0,15.26,-3,9551.26,2007,12,23,2008,2,27,2008,6,12,2008,6,9
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,5900,188800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1989.0,19569.48,370.05,0,208739.53,2008,5,30,2008,6,20,2008,11,18,2008,11,18
109-TZ-T01,Tanzania,Direct Drop,CIP,Air,ARV,Adult,BRISTOL-MYERS SQUIBB,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",Yes,4516.521007400334,0.0,120.48,0,61591.47,2008,5,15,2008,5,15,2008,11,3,2008,11,3
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,3000,215970.0,71.99,0.72,Inverness Japan,No,889.0,7303.52,345.55,0,223619.06999999998,2008,4,3,2008,8,21,2008,9,22,2008,9,22
102-GY-T01,Guyana,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,1062,33984.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1062.0,3976.33,54.37,0,38014.700000000004,2008,4,12,2008,7,18,2008,10,1,2008,10,1
102-BW-T01,Botswana,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,5,160.0,32.0,1.6,"Trinity Biotech, Plc",Yes,3.0,1225.17,0.26,0,1385.43,2008,5,30,2008,7,28,2008,11,18,2008,11,18
102-BW-T01,Botswana,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,8,560.0,70.0,0.7,Inverness Japan,Yes,5406.0,559.95,0.9,-7,1120.8500000000001,2008,4,20,2008,7,28,2008,10,9,2008,10,2
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,200mg,Tablet,60,1848,5359.2,2.9,0.05,"Aurobindo Unit III, India",Yes,327.0,3171.36,8.57,0,8539.13,2008,4,6,2008,7,1,2008,9,25,2008,9,25
102-NG-T01,Nigeria,Direct Drop,DDP,Air,HRDT,HIV test,BUNDI INTERNATIONAL DIAGNOSTICS LTD,Bundi,300mg,Test kit,1,1369,51337.5,37.5,37.5,BUNDI INTERNATIONAL DIAGNOSTICS LTD,Yes,4516.521007400334,0.0,100.62,0,51438.12,2008,3,8,2008,8,20,2008,8,27,2008,8,27
117-ET-T01,Ethiopia,Direct Drop,EXW,Air,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Colloidal Gold,300mg,Test kit,1,7002,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,4922.0,46117.09,315.65,0,207478.74,2008,5,29,2008,8,22,2008,11,17,2008,11,17
117-ET-T01,Ethiopia,Direct Drop,EXW,Air,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Colloidal Gold,300mg,Test kit,1,7002,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,5057.0,44360.44,315.65,-2,205722.09,2008,5,11,2008,8,22,2008,10,30,2008,10,28
117-ET-T01,Ethiopia,Direct Drop,EXW,Air,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Colloidal Gold,300mg,Test kit,1,7002,161046.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,5057.0,44347.71,257.67,0,205651.38,2008,4,17,2008,8,22,2008,10,6,2008,10,6
111-MZ-T01,Mozambique,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,7690,76.9,0.01,0.0,Inverness Japan,Yes,2278.0,23743.01,0.15,0,23820.06,2008,5,13,2008,8,26,2008,11,1,2008,11,1
107-RW-T01,Rwanda,Direct Drop,CIP,Air,ARV,Adult,CIPLA LIMITED,Generic,150/300mg,Tablet - FDC,60,18560,168896.0,9.1,0.15,"Cipla, Goa, India",Yes,1698.0,16414.22,331.04,0,185641.26,2008,9,19,2008,10,21,2009,3,10,2009,3,10
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,650,20800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,220.0,7078.9,33.28,0,27912.18,2008,4,19,2008,9,19,2008,10,8,2008,10,8
110-ZM-T01,Zambia,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,25mg,Chewable/dispersible tablet,60,545,3815.0,7.0,0.12,"BMS Meymac, France",Yes,4516.521007400334,0.0,7.48,0,3822.48,2008,9,1,2008,11,4,2009,2,20,2009,2,20
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,50mg,Capsule,30,200,592.0,2.96,0.1,"MSD Midrand, J'burg, SA",No,4516.521007400334,0.0,1.16,-220,593.16,2008,11,26,2009,1,31,2009,5,17,2008,10,9
109-TZ-T01,Tanzania,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,1678,53696.0,32.0,1.6,"Trinity Biotech, Plc",Yes,554.0,4810.99,105.24,0,58612.229999999996,2008,9,11,2008,11,14,2009,3,2,2009,3,2
117-ET-T01,Ethiopia,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Determine,300mg,Test kit - Ancillary,100,10000,80000.0,8.0,0.08,Inverness Japan,Yes,400.0,4856.14,156.8,0,85012.94,2008,8,8,2008,11,24,2009,1,27,2009,1,27
109-TZ-T01,Tanzania,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,600/200/300mg,Tablet - FDC,30,24963,1258135.2,50.4,1.68,"MSD, Haarlem, NL",Yes,2462.0,3451.41,2465.94,0,1264052.5499999998,2008,12,25,2008,12,30,2009,6,15,2009,6,15
102-GY-T01,Guyana,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,351,25272.0,72.0,0.72,Inverness Japan,Yes,60.0,1097.78,49.53,-7,26419.309999999998,2008,8,11,2008,12,12,2009,1,30,2009,1,23
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,200mg,Tablet,60,5200,15080.0,2.9,0.05,"Aurobindo Unit III, India",No,3509.0,12835.2,29.56,0,27944.760000000002,2008,10,20,2009,1,16,2009,4,10,2009,4,10
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,300,6000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,94.0,1205.43,11.76,0,7217.1900000000005,2008,10,5,2009,1,27,2009,3,26,2009,3,26
100-SN-T01,Senegal,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",ImmunoComb,300mg,Test kit,36,80,6800.0,85.0,2.36,INVERNESS ORGENICS LINE,Yes,33.0,812.0,13.33,0,7625.33,2008,10,4,2009,2,6,2009,3,25,2009,3,25
109-TZ-T01,Tanzania,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,10680,438948.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,2724.0,12620.12,860.34,0,452428.46,2009,2,20,2009,2,5,2009,8,11,2009,8,11
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,7000,113050.0,16.15,0.54,"Aurobindo Unit III, India",No,4516.521007400334,0.0,221.58,-109,113271.58,2008,9,26,2008,12,1,2009,3,17,2008,11,28
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,200mg,Tablet,60,983,4875.68,4.96,0.08,"Aurobindo Unit III, India",No,4516.521007400334,0.0,9.56,-109,4885.240000000001,2008,9,26,2008,12,1,2009,3,17,2008,11,28
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,30mg,Capsule,60,1325,3339.0,2.52,0.04,"Aurobindo Unit III, India",No,4516.521007400334,0.0,6.54,-113,3345.54,2008,10,3,2008,12,8,2009,3,24,2008,12,1
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Viramune,200mg,Tablet,60,2880,44812.8,15.56,0.26,"Boehringer Ing., Koropi, GR",No,4516.521007400334,0.0,87.83,-119,44900.630000000005,2008,10,10,2008,12,15,2009,3,31,2008,12,2
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,300mg,Tablet,60,6800,82620.0,12.15,0.2,"Aurobindo Unit III, India",Yes,4516.521007400334,0.0,161.94,-139,82781.94,2008,12,26,2009,3,2,2009,6,16,2009,1,28
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,3414,49810.26,14.59,0.49,"Cipla, Goa, India",Yes,4516.521007400334,0.0,97.63,-155,49907.89,2009,1,16,2009,3,23,2009,7,7,2009,2,2
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Retrovir,300mg,Tablet,60,5000,62750.0,12.55,0.21,GSK Aranda,No,4516.521007400334,0.0,122.99,-125,62872.99,2008,10,17,2008,12,22,2009,4,7,2008,12,3
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,6215,102609.65,16.51,0.55,"Aurobindo Unit III, India",No,4516.521007400334,0.0,201.11,-133,102810.76,2008,11,14,2009,1,19,2009,5,5,2008,12,23
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,50mg,Capsule,30,3000,7470.0,2.49,0.08,"MSD Midrand, J'burg, SA",No,4516.521007400334,0.0,14.64,-133,7484.64,2008,11,14,2009,1,19,2009,5,5,2008,12,23
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,50mg,Capsule,30,500,1530.0,3.06,0.1,"Aurobindo Unit III, India",No,4516.521007400334,0.0,3.0,-124,1533.0,2008,12,5,2009,2,9,2009,5,26,2009,1,22
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,1200,14532.0,12.11,0.4,"Cipla, Goa, India",No,4516.521007400334,0.0,28.48,-130,14560.48,2008,10,10,2008,12,15,2009,3,31,2008,11,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,500,8820.0,17.64,0.59,"Aspen-OSD, Port Elizabeth, SA",No,4516.521007400334,0.0,17.29,-130,8837.29,2008,10,10,2008,12,15,2009,3,31,2008,11,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Truvada,300/200mg,Tablet - FDC,30,80,2336.0,29.2,0.97,"Aspen-OSD, Port Elizabeth, SA",No,4516.521007400334,0.0,4.58,-130,2340.58,2008,10,10,2008,12,15,2009,3,31,2008,11,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Norvir,80mg/ml,Oral solution,90,1,5.97,5.97,0.07,ABBVIE (Abbott) France,Yes,4516.521007400334,0.0,0.01,-131,5.9799999999999995,2008,10,11,2008,12,16,2009,4,1,2008,11,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Retrovir,300mg,Tablet,60,500,6555.0,13.11,0.22,GSK Aranda,Yes,4516.521007400334,1521.4,12.85,-126,8089.25,2008,10,11,2008,12,16,2009,4,1,2008,11,26
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Zerit,20mg,Capsule,60,300,1179.0,3.93,0.07,"BMS Meymac, France",Yes,4516.521007400334,0.0,2.31,-51,1181.31,2008,10,13,2008,12,18,2009,4,3,2009,2,11
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,50mg,Capsule,30,80,188.8,2.36,0.08,"MSD Midrand, J'burg, SA",No,4516.521007400334,0.0,0.37,-68,189.17000000000002,2008,10,9,2008,12,14,2009,3,30,2009,1,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Invirase,200mg,Capsule,270,28,1578.92,56.39,0.21,Roche Basel,No,4516.521007400334,0.0,3.09,-68,1582.01,2008,10,9,2008,12,14,2009,3,30,2009,1,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,200mg,Capsule,90,30,829.5,27.65,0.31,"MSD Midrand, J'burg, SA",No,4516.521007400334,0.0,1.63,-68,831.13,2008,10,9,2008,12,14,2009,3,30,2009,1,21
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,10mg/ml,Oral solution,240,108,610.2,5.65,0.02,"Aurobindo Unit III, India",Yes,4516.521007400334,0.0,1.2,0,611.4000000000001,2009,1,4,2009,3,18,2009,6,25,2009,6,25
116-ZA-T01,South Africa,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,150mg,Tablet,60,9620,68109.6,7.08,0.12,"Aurobindo Unit III, India",Yes,4516.521007400334,0.0,133.49,-71,68243.09000000001,2009,1,4,2009,3,27,2009,6,25,2009,4,15
144-BW-T01,Botswana,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,300mg,Test kit,100,20,7000.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,48.0,1119.99,13.72,0,8133.71,2008,10,27,2009,3,25,2009,4,17,2009,4,17
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,250,5315.0,21.26,0.71,"Aspen-OSD, Port Elizabeth, SA",Yes,4516.521007400334,0.0,10.42,-4,5325.42,2008,10,31,2009,4,2,2009,4,21,2009,4,17
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,200mg,Capsule,90,100,3220.0,32.2,0.36,"MSD Midrand, J'burg, SA",Yes,4516.521007400334,0.0,6.31,0,3226.31,2008,11,24,2009,1,29,2009,5,15,2009,5,15
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Aluvia,200/50mg,Tablet,120,400,14400.0,36.0,0.3,ABBVIE Ludwigshafen Germany,Yes,4516.521007400334,0.0,28.22,-24,14428.22,2008,11,24,2009,4,2,2009,5,15,2009,4,21
107-RW-T01,Rwanda,Direct Drop,CIP,Air,ARV,Adult,HETERO LABS LIMITED,Generic,600mg,Tablet,30,28034,195677.32,6.98,0.23,Hetero Unit III Hyderabad IN,Yes,2268.0,19023.36,383.53,0,215084.21,2009,2,21,2009,7,15,2009,8,12,2009,8,12
123-NG-T01,Nigeria,Direct Drop,EXW,Air,ACT,ACT,MISSIONPHARMA A/S,Coartem,20/120mg,Tablet - FDC + blister,540,2000,70420.0,35.21,0.07,"Novartis Pharma Suffern, USA",Yes,1250.0,17170.07,138.02,0,87728.09000000001,2009,3,15,2009,4,10,2009,9,3,2009,9,3
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,300mg,Test kit,40,476,52360.0,110.0,2.75,Bio-Rad Laboratories,Yes,534.0,9471.52,102.63,-1,61934.15,2008,12,20,2009,4,15,2009,6,10,2009,6,9
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,300mg,Test kit,40,18,1980.0,110.0,2.75,Bio-Rad Laboratories,Yes,20.0,2199.43,3.88,7,4183.31,2008,12,20,2009,4,15,2009,6,10,2009,6,17
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,6760,216320.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2261.0,17643.81,423.99,0,234387.8,2008,12,6,2009,4,29,2009,5,27,2009,5,27
109-TZ-T01,Tanzania,Direct Drop,FCA,Air,ARV,Adult,Hoffmann-La Roche ltd Basel,Invirase,200mg,Capsule,270,820,73074.13,89.11,0.33,Roche Basel,Yes,424.0,3310.89,143.23,0,76528.25,2009,2,8,2009,5,28,2009,7,30,2009,7,30
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Ziagen,300mg,Tablet - blister,60,30,1081.8,36.06,0.6,GSK Ware (UK),No,4516.521007400334,0.0,2.12,-83,1083.9199999999998,2009,4,23,2009,6,5,2009,10,12,2009,7,21
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Aluvia,200/50mg,Tablet,120,200,8396.0,41.98,0.35,ABBVIE Ludwigshafen Germany,No,4516.521007400334,0.0,16.46,-76,8412.46,2009,4,23,2009,6,5,2009,10,12,2009,7,28
141-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Clearview,300mg,Test kit,25,4,300.0,75.0,3.0,Chembio Diagnostics Sys. Inc.,Yes,4.0,133.25,0.59,0,433.84,2009,3,13,2009,6,4,2009,9,1,2009,9,1
104-CI-T01,Côte d'Ivoire,Direct Drop,CIP,Air,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,80/20mg/ml,Oral solution,300,20,822.0,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,4516.521007400334,0.0,1.61,0,823.61,2009,3,27,2009,3,30,2009,9,15,2009,9,15
100-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,30,31,734.7,23.7,0.79,"Standard Diagnostics, Korea",Yes,11.0,515.32,1.1,0,1251.12,2005,11,11,2006,1,16,2006,5,2,2006,5,2
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,Reveal,300mg,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,859.53,0.83,0,1411.36,2006,2,17,2006,4,24,2006,8,8,2006,8,8
108-VN-T01,Vietnam,Direct Drop,CIP,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,133.3/33.3mg,Capsule,180,198,35802.36,180.82,1.0,ABBVIE (Abbott) St. P'burg USA,Yes,389.0,7286.16,53.79,0,43142.310000000005,2006,3,27,2006,6,1,2006,9,15,2006,9,15
112-NG-T01,Nigeria,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,10mg/ml,Oral suspension,240,416,2579.2,6.2,0.03,"Aurobindo Unit III, India",No,504.0,5920.42,3.87,0,8503.49,2006,4,9,2006,6,14,2006,9,28,2006,9,28
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,16683,65897.85,3.95,0.07,"Aurobindo Unit III, India",Yes,1498.0,20257.08,99.0,0,86253.93000000001,2006,3,18,2006,5,23,2006,9,6,2006,9,6
